precio,superficie_total,superficie_util,dormitorios,banos,estacionamientos,tipo
7050,244.47,125.5,3,3,1,Casa
2790,88,43,3,2,0,Casa
8900,497,82,3,2,7,Casa
16966,500,330,5,5,2,Casa
4500,163,123,4,2,0,Casa
1850,86,68,2,1,1,Casa
7800,455,151,4,3,2,Casa
14000,2639,273,6,5,0,Casa
6200,5000,120,3,1,5,Casa
1660,141,125,3,2,1,Casa
3366.992361,180,140,3,2,1,Casa
4850,126,176,3,2,0,Casa
27000,1200,770,5,6,4,Casa
8600,312,88,3,3,0,Casa
5690,163,134,4,2,2,Casa
1176.812864,180,63,2,1,0,Casa
25790,1413,129,5,2,4,Casa
8250,280,107,3,2,1,Casa
12358,349,136,4,3,1,Casa
4678,145,150,4,3,1,Casa
8146,6800,220,3,2,0,Casa
17000,6530,440,4,4,4,Casa
8400,415,230,4,5,2,Casa
6358,462,143,3,3,2,Casa
4920,293,82,3,2,0,Casa
8000,259,117,4,3,2,Casa
8000,316,111,4,2,1,Casa
4903.386933,292,120,6,2,3,Casa
10730,684,308,9,6,0,Casa
915.2988941,78,50,1,3,0,Casa
4707.251455,2000,90,3,1,3,Casa
12300,1538,156,3,2,0,Casa
5197.590149,330,130,3,1,0,Casa
11610,190,190,7,2,0,Casa
3922.709546,102,130,4,1,0,Casa
10940,516,245,6,2,3,Casa
11980,233,328,12,13,0,Casa
5610,310,120,4,2,1,Casa
8300,495,173,5,3,1,Casa
3190,235,202,4,3,3,Casa
22000,404,288,5,6,0,Casa
9500,185,142,6,4,1,Casa
5230.279395,160,130,4,3,3,Casa
1670,361,115,3,1,1,Casa
2778.585929,195,110,4,2,2,Casa
12680,810,105,5,1,2,Casa
8500,242,125,3,2,2,Casa
9479.881403,6000,250,4,4,4,Casa
8500,294,138,4,3,0,Casa
14710.1608,500,250,5,4,3,Casa
10200,470,170,5,2,5,Casa
5200,390,80,2,2,2,Casa
7000,322,139,4,4,2,Casa
7050,247,137,3,3,1,Casa
9600,400,167,5,4,0,Casa
8200,218,165,5,2,3,Casa
9500,330,160,4,3,0,Casa
10000,386,205,4,4,1,Casa
8000,240,120,3,3,2,Casa
4850,126,172,3,2,0,Casa
4850,126,172,3,2,0,Casa
2995,1130,110,3,1,2,Casa
9741.395373,490,239,4,3,0,Casa
12912.25226,6000,420,5,4,0,Casa
5175,300,57,3,2,0,Casa
11081.65447,800,205,4,3,0,Casa
7518.52663,415,260,5,4,0,Casa
